3651;349,354
3650;349,354,369
3649;367
3644;383,384
3545;369,372
3540;329,360,367
3539;360
3535;362
3534;334,356,374
3533;339,343,374
3531;362
3530;376,380
3526;331,336
3459;334,341
3458;337
3457;345
3455;339,343,351
3454;331,356
3452;376,378,380
3451;369
3450;384
3449;374
3448;366
3447;364,366,367
3446;329,369,372
3445;369,372,378
3444;354,376,380
3437;364,366,367
3435;358
3432;353
3430;358,369
3429;351,358,362
3428;343,356
3427;345
3426;331,351
3425;360,376,378
3424;360,376,378
3423;360,376,378
3422;360
3421;358
3418;339,343
3417;349
3415;345,347
3414;341,347,349
3413;343,347,351
3412;364,366,367
3411;353,358,372
3404;343,347,369
3403;341,343
3401;349
3399;336,337,341
3398;331,349
3397;345
3396;358
3395;354
3394;341
3393;334,347
3392;339,360
3391;329,337,362
3390;336,351,364
3389;336,351,364
3387;337,345
3384;341,356
3383;329,364
3382;339,353,354
3381;341,343
3380;334,349
3379;341,343,345
3378;341,343,351
3377;349,360
3376;345,353
3375;345
3374;331,354
3373;327,339
3372;327,339
3371;331,339
3370;339,347
3369;336,339
3368;327,356
3367;327,356
3366;351,356
3365;343,345,351
3364;356,360
3363;334,349,360
3362;327,356
3361;327,356
3360;327,356
3359;353,354
3358;327,356
3357;327,356
3356;329,356
3355;327,356
3354;334,349,360
3353;327,329,362
3352;349,360
3351;331,364
3350;345,349
3349;327,349
3348;334
3347;327,331
3346;337,353
3344;343,351
3343;327,362
3342;349
3341;334,345
3340;341,343
3338;349
3336;336,339
3335;343,351,356
3334;336,339,345
3333;345,366
3332;329,347
3331;341,353,354
3330;329,347,358
3329;364,366
3328;364,366
3327;354
3326;327,329
3325;351,362
3324;329,351,362
3323;329,337,347
3322;329,331,347
3321;327,349,362
3320;327,347,362
3319;327,347,362
3318;331
3317;343,345,347
3316;327,329
3315;327,329
3313;327,329
3312;327,329
3311;327,329
3310;327,329
3309;327,329
3308;327,329
3307;327,329
3306;327,329
3305;327,329
3304;327,329
3302;327,329
3301;327,329
3300;327,329
3299;327,329
3298;327,329
3297;329
